Listed Company's English Name,Listed Company's Chinese Name,Stock Code,Listing Status,Director's English Name,Director's Chinese Name,Capacity,Position,Appointment Date (yyyy-mm-dd),Resignation Date (yyyy-mm-dd)
Transport International Holdings Limited,載通國際控股有限公司,00062,Current,CHAN Cho Chak John,陳祖澤,Executive Director,Managing Director,1997-09-04,2008-04-08
Transport International Holdings Limited,載通國際控股有限公司,00062,Current,KWOK Ping Sheung Walter,郭炳湘,Non Executive Director,,1997-09-04,2014-01-27
Transport International Holdings Limited,載通國際控股有限公司,00062,Current,KWOK Ping Luen Raymond,郭炳聯,Non Executive Director,,1997-09-04,
Transport International Holdings Limited,載通國際控股有限公司,00062,Current,CHUNG Sze Yuen,鍾士元,Independent Non Executive Director,Chairman,1999-08-12,2012-05-17
Transport International Holdings Limited,載通國際控股有限公司,00062,Current,YU Shu Chuen,余樹泉,Executive Director,,1997-09-04,2006-05-01
Transport International Holdings Limited,載通國際控股有限公司,00062,Current,LUI Chung Yuen Charles,雷中元,Executive Director,,1997-09-04,2016-10-20
Transport International Holdings Limited,載通國際控股有限公司,00062,Current,LI Ka Cheung Eric,李家祥,Independent Non Executive Director - A/F,,1998-12-10,
Transport International Holdings Limited,載通國際控股有限公司,00062,Current,LOUEY Lai Kuen William,雷禮權,Non Executive Director,,1997-09-04,
China Asia Valley Group Limited,中亞烯谷集團有限公司,00063,Current,KAN Fook Yee,簡福飴,Independent Non Executive Director,,1998-01-19,2011-04-20
Fortis Asia Holdings Limited,富通亞洲控股有限公司,00065,Delisted,CHUNG Cho Yee Mico,鍾楚義,Executive Director,,1999-06-08,2006-03-17
Fortis Asia Holdings Limited,富通亞洲控股有限公司,00065,Delisted,YUEN Tin Fan Francis,袁天凡,Executive Director,Chairman,1999-06-08,2007-07-03
Fortis Asia Holdings Limited,富通亞洲控股有限公司,00065,Delisted,CHANG Hsin Kang,張信剛,Independent Non Executive Director,,1999-06-08,2007-06-25
Fortis Asia Holdings Limited,富通亞洲控股有限公司,00065,Delisted,FRESHWATER Timothy George,范華達,Independent Non Executive Director - A/F,,1999-06-08,2007-06-25
Fortis Asia Holdings Limited,富通亞洲控股有限公司,00065,Delisted,ALLEN Peter Anthony,彭德雅,Executive Director,,1999-06-08,2006-03-01
Fortis Asia Holdings Limited,富通亞洲控股有限公司,00065,Delisted,ARENA Alexander Anthony,艾維朗,Executive Director,,1999-06-08,2006-03-17
Fortis Asia Holdings Limited,富通亞洲控股有限公司,00065,Delisted,WONG Yue Chim Richard,王于漸,Independent Non Executive Director,,1999-06-08,2007-06-25
Lee Hing Development Limited,利興發展有限公司,00068,Delisted,YEUNG Chik Kin,楊捷健,Independent Non Executive Director,,1998-09-21,2011-04-14
Shangri-La Asia Limited,香格里拉（亞洲）有限公司,00069,Current,ANGELINI Giovanni,,Executive Director,,1999-06-30,2009-04-30
Shangri-La Asia Limited,香格里拉（亞洲）有限公司,00069,Current,KUOK Oon Kwong,郭雯光,Non Executive Director,,1999-11-16,2009-05-27
Shangri-La Asia Limited,香格里拉（亞洲）有限公司,00069,Current,YE Long Fei,葉龍蜚,Executive Director,,1997-12-16,2007-03-27
"Miramar Hotel and Investment Company, Limited",美麗華酒店企業有限公司,00071,Current,YU Tat Kong Petrus,余達綱,Executive Director,CEO,1997-04-18,2009-01-01
"Miramar Hotel and Investment Company, Limited",美麗華酒店企業有限公司,00071,Current,NG Tony,吳偉星,Non Executive Director,,1997-04-18,2012-06-07
"Miramar Hotel and Investment Company, Limited",美麗華酒店企業有限公司,00071,Current,HO Hau Chong Norman,何厚鏘,Executive Director,,1998-04-22,
Great Wall Technology Company Limited,長城科技股份有限公司,00074,Delisted,LI Xiao Ru,李孝如,Independent Non Executive Director,,1999-06-15,2006-07-12
Great Wall Technology Company Limited,長城科技股份有限公司,00074,Delisted,TAM Man Chi,譚文鋕,Executive Director,,1998-03-20,2014-07-11
Great Wall Technology Company Limited,長城科技股份有限公司,00074,Delisted,LU Ming,盧明,Executive Director,Chairman,1998-03-20,2013-06-18
Elate Holdings Limited,誼礫控股有限公司,00076,Current,LU Ren Jie,陸人杰,Independent Non Executive Director,,1999-07-25,2020-01-10
Regal Hotels International Holdings Limited,富豪酒店國際控股有限公司,00078,Current,LO Chun To,羅俊圖,Executive Director,,1999-10-25,
Regal Hotels International Holdings Limited,富豪酒店國際控股有限公司,00078,Current,NG Kwai Kai,吳季楷,Executive Director,,1998-06-26,
Century Legend (Holdings) Limited,世紀建業（集團）有限公司,00079,Current,TSANG Chiu Ching,曾昭政,Executive Director,,1999-09-21,2018-05-01
Century Legend (Holdings) Limited,世紀建業（集團）有限公司,00079,Current,TSANG Chiu Mo Samuel,曾昭武,Executive Director,Chairman,1999-09-21,
China Overseas Grand Oceans Group Limited,中國海外宏洋集團有限公司,00081,Current,NGAI Shiu Kit,倪少傑,Independent Non Executive Director,,1998-09-22,2008-12-19
China Overseas Grand Oceans Group Limited,中國海外宏洋集團有限公司,00081,Current,LEE Tung Hai Leo,李東海,Independent Non Executive Director,,1998-09-22,2009-01-30
Sino Land Company Limited,信和置業有限公司,00083,Current,TONG Kwok Tung Raymond,唐國通,Executive Director,,1997-10-16,2009-09-01
Stelux Holdings International Limited,寶光實業(國際)有限公司,00084,Current,WONG Yuk Woon,黃玉桓,Executive Director,,1997-03-07,2006-06-01
Stelux Holdings International Limited,寶光實業(國際)有限公司,00084,Current,LEE Shu Chung Stan,李樹忠,Executive Director,,1997-03-07,2007-02-16
China Electronics Huada Technology Company Limited,中國電子華大科技有限公司,00085,Current,WONG Po Yan,黃保欣,Independent Non Executive Director,,1997-05-23,2012-11-01
China Electronics Huada Technology Company Limited,中國電子華大科技有限公司,00085,Current,CHAN Kay Cheung,陳棋昌,Independent Non Executive Director,,1997-05-23,
Sun Hung Kai & Co. Limited,新鴻基有限公司,00086,Current,BARTLETT David Craig,白禮德,Independent Non Executive Director,,1999-11-26,
Tai Cheung Holdings Limited,大昌集團有限公司,00088,Current,LI Wing Sau,李永修,Executive Director,,1997-08-01,
Tai Sang Land Development Limited,大生地產發展有限公司,00089,Current,MA Ching Yeung Philip,馬清揚,Executive Director,,1997-05-30,
Golden Century International Holdings Group Limited,金禧國際控股集團有限公司,00091,Current,TANG Tin Sek,鄧天錫,Independent Non Executive Director - A/F,,1999-12-17,2009-06-10
Golden Century International Holdings Group Limited,金禧國際控股集團有限公司,00091,Current,TONG Nai Kan,唐乃勤,Executive Director,Chairman,1999-03-22,2013-06-27
Wing Lung Bank Limited,永隆銀行有限公司,00096,Delisted,NG Siu Chan,伍兆燦,Independent Non Executive Director,,1999-05-31,2007-04-28
Wing Lung Bank Limited,永隆銀行有限公司,00096,Delisted,MA Ngai Keung Kenneth,馬毅強,Alternate Director,,1999-05-14,2008-10-27
Henderson Investment Limited,恒基兆業發展有限公司,00097,Current,WONG Ho Ming Augustine,黃浩明,Executive Director,,1997-10-16,2012-06-11
Henderson Investment Limited,恒基兆業發展有限公司,00097,Current,SUEN Kwok Lam,孫國林,Executive Director,,1999-07-01,2011-06-09
